,Account,Text,Date,datetime,compound,neg,neu,pos
66,BBC North America,Sarah Sanders kicked out of restaurant because of work for Trump https://t.co/sdaMrXXVRV,2018-06-23,2018-06-23 17:24:13-04:00,0.0,0.0,1.0,0.0
67,BBC North America,RT @HaleyThomas09: Cisary and his eight-year-old daughter fled from Honduras after receiving death threats. They were detained when they en…,2018-06-23,2018-06-23 10:35:44-04:00,-0.8555,0.356,0.644,0.0
68,BBC North America,Pantera drummer Vinnie Paul dies aged 54 https://t.co/TNRljgVgQg,2018-06-23,2018-06-23 06:24:54-04:00,0.0,0.0,1.0,0.0
69,BBC North America,US military plans migrant tent camps amid Trump crackdown https://t.co/kEHpucjh1n,2018-06-23,2018-06-23 04:04:07-04:00,0.0,0.0,1.0,0.0
70,BBC North America,Anthony Bourdain: Chef's mother plans memorial tattoo https://t.co/F0oWKDszFz,2018-06-22,2018-06-22 21:10:17-04:00,0.0,0.0,1.0,0.0
71,BBC North America,Undocumented migrant families embark on chaotic reunion process https://t.co/YNdA8GhvVe,2018-06-22,2018-06-22 19:04:17-04:00,-0.4939,0.286,0.714,0.0
72,BBC North America,Trump highlights victims of migrants amid family separations row https://t.co/5Q0ZiV1O6H,2018-06-22,2018-06-22 16:42:37-04:00,-0.3182,0.204,0.796,0.0
73,BBC North America,Koko: Gorilla death coverage rekindles language debate https://t.co/pR4cpwIyBR,2018-06-22,2018-06-22 11:50:15-04:00,-0.5994,0.358,0.642,0.0
74,BBC North America,"RT @BBCWorld: Drone footage offers a unique look at a 'tent city' built to house migrant children in Texas 

https://t.co/7NOMpSb8Mv https:…",2018-06-22,2018-06-22 10:02:10-04:00,0.0,0.0,1.0,0.0
75,BBC North America,Migrant families separation poster girl 'not taken from mum' https://t.co/YpO7YEAWtb,2018-06-22,2018-06-22 09:43:26-04:00,0.0,0.0,1.0,0.0
