,City,Country,"Lat, Long",Lat,Lon,OWM City #,OWM City Name,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
149,chongoyape,pe,"(-6.6405556, -79.3891667)",-6.6405556,-79.3891667,3698176.0,Chongoyape,79.03,87.4,10.9,1.32125
150,brumadinho,br,"(-20.133333, -44.216667)",-20.133333,-44.216667,7304501.0,Inhotim,82.96,69.05,23.1,4.22575
151,mpanda,tz,"(-6.3666667, 31.0333333)",-6.3666667,31.0333333,153176.0,Mpanda,83.21,51.35,20.0,6.3847499999999995
152,sao joao evangelista,br,"(-18.533333, -42.75)",-18.533333,-42.75,3448850.0,Sao Joao Evangelista,76.69,82.35,27.2,3.11675
153,itamaraju,br,"(-17.066667, -39.533333)",-17.066667,-39.533333,3464029.0,Escondido,76.96,92.175,50.0,4.16325
154,gold coast,au,"(-28.00029, 153.430878)",-28.00029,153.430878,2147849.0,Surfers Paradise,67.15,99.975,66.1,11.83675
155,hennenman,za,"(-27.976539, 27.024227)",-27.976539,27.024227,996918.0,Hennenman,68.36,57.7,4.5,6.42975
156,karangampel,id,"(-6.462222, 108.451944)",-6.462222,108.451944,1641342.0,Karangampel,86.28,99.275,29.2,9.229000000000001
157,nata,bw,"(-20.2166667, 26.1833333)",-20.2166667,26.1833333,933238.0,Nata,80.21,35.9,4.2,8.679749999999999
158,namibe,ao,"(-15.196111, 12.152222)",-15.196111,12.152222,3347019.0,Namibe,72.75,98.775,0.3,7.537000000000001
159,calama,cl,"(-22.466667, -68.933333)",-22.466667,-68.933333,3897347.0,Calama,76.82,47.725,1.7,4.88775
160,espinosa,br,"(-14.933333, -42.833333)",-14.933333,-42.833333,3463939.0,Espinosa,79.56,71.075,12.0,8.14525
161,chachapoyas,pe,"(-6.2166667, -77.85)",-6.2166667,-77.85,6383146.0,Asentamiento Humano Pedro Alva Castro,69.85,87.025,41.3,2.37775
162,nanganga,tz,"(-10.3833333, 39.15)",-10.3833333,39.15,877605.0,Nanganga,81.3,65.5,29.6,4.27425
163,tabuleiro do norte,br,"(-5.25, -38.116667)",-5.25,-38.116667,3386984.0,Tabuleiro do Norte,92.66,53.85,22.6,9.0915
164,mzimba,mw,"(-11.9, 33.6)",-11.9,33.6,925498.0,Mzimba,75.89,72.625,23.0,5.63975
165,terra nova,br,"(-12.366667, -40.666667)",-12.366667,-40.666667,3446587.0,Terra Nova,76.82,89.25,55.8,5.9235
166,san carlos,uy,"(-34.8, -54.9166667)",-34.8,-54.9166667,3440696.0,San Carlos,60.01,93.175,21.2,10.31225
167,naberera,tz,"(-4.2, 36.9333333)",-4.2,36.9333333,152042.0,Naberera,75.81,79.9,39.5,7.760249999999999
168,rusape,zw,"(-18.5333333, 32.1166667)",-18.5333333,32.1166667,882100.0,Rusape,68.42,66.875,6.8,3.4560000000000004
169,baturite,br,"(-4.333333, -38.883333)",-4.333333,-38.883333,3405954.0,Baturite,90.5,61.3,10.5,6.312250000000001
170,nao-me-toque,br,"(-28.466667, -52.816667)",-28.466667,-52.816667,3456397.0,Nao Me Toque,77.52,93.625,71.6,7.04425
171,bequimao,br,"(-2.433333, -44.783333)",-2.433333,-44.783333,3405778.0,Bequimao,90.55,74.25,19.3,4.216499999999999
172,pariquera-acu,br,"(-24.716667, -47.883333)",-24.716667,-47.883333,3454967.0,Pariquera Acu,83.48,90.55,40.7,4.08825
173,sao jose do belmonte,br,"(-7.866667, -38.766667)",-7.866667,-38.766667,3388440.0,Sao Jose do Belmonte,87.65,61.35,22.7,10.68675
174,carmen del parana,py,"(-27.233333, -56.216667)",-27.233333,-56.216667,3439156.0,Carmen del Parana,87.82,87.7,60.1,3.864
175,blackwater,au,"(-23.583509, 148.87912)",-23.583509,148.87912,2175403.0,Blackwater,73.83,67.45,52.5,7.704000000000001
176,greymouth,nz,"(-42.466667, 171.2)",-42.466667,171.2,2206895.0,Greymouth,52.29,97.775,33.6,13.099
177,rio piracicaba,br,"(-19.916667, -43.183333)",-19.916667,-43.183333,3451095.0,Rio Piracicaba,76.95,77.6,14.8,3.6432499999999997
178,lima,py,"(-23.9, -56.333333)",-23.9,-56.333333,3437653.0,Nueva Germania,86.76,81.975,68.0,3.2775
179,ariquemes,br,"(-9.933333, -63.066667)",-9.933333,-63.066667,3665199.0,Ariquemes,97.01,52.725,29.5,2.4292500000000006
180,pindobacu,br,"(-10.733333, -40.35)",-10.733333,-40.35,3453827.0,Pindobacu,81.41,71.675,44.9,8.20925
181,curug,id,"(-6.253333, 106.617222)",-6.253333,106.617222,1645895.0,Curug,86.29,96.0,38.2,5.61925
182,miracema,br,"(-21.416667, -42.183333)",-21.416667,-42.183333,3457133.0,Miracema,84.7,73.475,5.9,2.99475
183,tororo,ug,"(0.6847222, 34.1811111)",0.6847222,34.1811111,226110.0,Tororo,77.12,88.85,38.9,3.878
184,lima duarte,br,"(-21.85, -43.8)",-21.85,-43.8,3458591.0,Lima Duarte,78.4,73.525,25.4,3.1812500000000004
185,padilla,co,"(3.220376, -76.313851)",3.220376,-76.313851,3673407.0,Padilla,79.74,90.375,51.0,1.455
186,maracacume,br,"(-2.05, -45.933333)",-2.05,-45.933333,3395497.0,Maracacume,87.94,87.5,21.3,5.804250000000001
187,aparecida,br,"(-22.8418, -45.2287)",-22.8418,-45.2287,3471949.0,Aparecida,80.47,67.775,3.8,3.4620000000000006
188,canutama,br,"(-6.533333, -64.333333)",-6.533333,-64.333333,3664716.0,Canutama,89.72,85.0,16.4,2.665
189,terre rouge,mu,"(-20.0433333, 57.5683333)",-20.0433333,57.5683333,934513.0,Fond du Sac,75.65,100.0,15.9,16.897750000000002
190,ituacu,br,"(-13.816667, -41.3)",-13.816667,-41.3,3460531.0,Ituacu,76.46,84.675,44.1,4.5605
191,chinchina,co,"(4.9825, -75.603611)",4.9825,-75.603611,3686561.0,Chinchina,76.14,85.175,50.3,1.79725
192,grand gaube,mu,"(-20.0063889, 57.6608333)",-20.0063889,57.6608333,934479.0,Grand Gaube,75.65,100.0,15.9,16.897750000000002
193,carhuamayo,pe,"(-10.9166667, -76.0333333)",-10.9166667,-76.0333333,3945466.0,Carhuamayo,59.31,80.275,28.8,2.982
194,carahue,cl,"(-38.7, -73.166667)",-38.7,-73.166667,3896774.0,Carahue,54.24,97.925,69.3,10.231
195,juazeiro do norte,br,"(-7.2, -39.333333)",-7.2,-39.333333,3397147.0,Juazeiro do Norte,83.17,61.5,16.4,10.47
196,perene,pe,"(-10.9666667, -75.2166667)",-10.9666667,-75.2166667,3932502.0,Perene,81.7,78.175,20.1,1.74725
197,tres coroas,br,"(-29.533333, -50.8)",-29.533333,-50.8,3446137.0,Tres Coroas,75.11,90.925,68.7,2.70125
198,ouro preto do oeste,br,"(-10.666667, -62.3)",-10.666667,-62.3,3969406.0,Sítio Paraná,95.38,56.225,11.1,2.22125
199,filandia,co,"(4.674722, -75.658333)",4.674722,-75.658333,3682473.0,Filandia,76.14,85.175,50.3,1.79725
200,indaiatuba,br,"(-23.083333, -47.233333)",-23.083333,-47.233333,3461311.0,Indaiatuba,90.72,46.125,32.0,6.3185
201,weru,id,"(-6.711, 108.5037)",-6.711,108.5037,1621613.0,Weru,86.28,99.275,29.2,9.229000000000001
202,parnarama,br,"(-5.683333, -43.1)",-5.683333,-43.1,3392996.0,Parnarama,94.51,42.475,38.6,3.8002500000000006
203,boquete,pa,"(8.7833333, -82.4333333)",8.7833333,-82.4333333,3713860.0,Boquete,84.99,93.35,73.2,2.1149999999999998
204,moree,au,"(-29.46278, 149.841568)",-29.46278,149.841568,2156927.0,Moree,61.04,87.8,47.3,5.78175
205,quixada,br,"(-4.966667, -39.016667)",-4.966667,-39.016667,3390907.0,Quixada,91.49,59.125,23.8,8.340250000000001
206,takoradi,gh,"(4.8833333, -1.75)",4.8833333,-1.75,2294915.0,Takoradi,80.36,96.65,53.2,7.332249999999999
